regso_code,andel_hoechstes_einkommensquartil_pct
0180R001,..
0180R002,..
0180R003,..
0180R004,..
0180R005,..
0180R006,..
0180R007,..
0180R008,..
0180R009,..
0180R010,..
0180R011,..
0180R012,..
0180R013,..
0180R014,..
0180R015,..
0180R016,..
0180R017,..
0180R018,..
0180R019,..
0180R020,..
0180R021,..
0180R022,..
0180R023,..
0180R024,..
0180R025,..
0180R026,..
0180R027,..
0180R028,..
0180R029,..
0180R030,..
0180R031,..
0180R032,..
0180R033,..
0180R034,..
0180R035,..
0180R036,..
0180R037,..
0180R038,..
0180R039,..
0180R040,..
0180R041,..
0180R042,..
0180R043,..
0180R044,..
0180R045,..
0180R046,..
0180R047,..
0180R048,..
0180R049,..
0180R050,..
0180R051,..
0180R052,..
0180R053,..
0180R054,..
0180R055,..
0180R056,..
0180R057,..
0180R058,..
0180R059,..
0180R060,..
0180R061,..
0180R062,..
0180R063,..
0180R064,..
0180R065,..
0180R066,..
0180R067,..
0180R068,..
0180R069,..
0180R070,..
0180R071,..
0180R072,..
0180R073,..
0180R074,..
0180R075,..
0180R076,..
0180R077,..
0180R078,..
0180R079,..
0180R080,..
0180R081,..
0180R082,..
0180R083,..
0180R084,..
0180R085,..
0180R086,..
0180R087,..
0180R088,..
0180R089,..
0180R090,..
0180R091,..
0180R092,..
0180R093,..
0180R094,..
0180R095,..
0180R096,..
0180R097,..
0180R098,..
0180R099,..
0180R100,..
0180R101,..
0180R102,..
0180R103,..
0180R104,..
0180R105,..
0180R106,..
0180R107,..
0180R108,..
0180R109,..
0180R110,..
0180R111,..
0180R112,..
0180R113,..
0180R114,..
0180R115,..
0180R116,..
0180R117,..
0180R118,..
0180R119,..
0180R120,..
0180R121,..
0180R122,..
0180R123,..
0180R124,..
0180R125,..
0180R126,..
0180R127,..
